고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
23103,공항철도,,인천공항2터미널,SAT,DOWN,0,A1042,,18:35:00,인천공항2터미널,서울역
23104,공항철도,,인천공항2터미널,END,DOWN,0,A1042,,18:35:00,인천공항2터미널,서울역
23105,공항철도,,인천공항1터미널,SAT,DOWN,0,A1042,,18:43:00,인천공항2터미널,서울역
23106,공항철도,,인천공항1터미널,END,DOWN,0,A1042,,18:43:00,인천공항2터미널,서울역
23107,공항철도,,서울역,DAY,DOWN,0,A1043,,20:10:00,서울역,인천공항2터미널
23108,공항철도,,인천공항1터미널,DAY,DOWN,0,A1043,,20:55:00,서울역,인천공항2터미널
23109,공항철도,,서울역,SAT,DOWN,0,A1043,,20:10:00,서울역,인천공항2터미널
23110,공항철도,,서울역,END,DOWN,0,A1043,,20:10:00,서울역,인천공항2터미널
23111,공항철도,,인천공항1터미널,SAT,DOWN,0,A1043,,20:55:00,서울역,인천공항2터미널
23112,공항철도,,인천공항1터미널,END,DOWN,0,A1043,,20:55:00,서울역,인천공항2터미널
23113,공항철도,,인천공항2터미널,DAY,DOWN,0,A1044,,19:15:00,인천공항2터미널,서울역
23114,공항철도,,인천공항1터미널,DAY,DOWN,0,A1044,,19:23:00,인천공항2터미널,서울역
23115,공항철도,,인천공항2터미널,SAT,DOWN,0,A1044,,19:15:00,인천공항2터미널,서울역
23116,공항철도,,인천공항2터미널,END,DOWN,0,A1044,,19:15:00,인천공항2터미널,서울역
23117,공항철도,,인천공항1터미널,SAT,DOWN,0,A1044,,19:23:00,인천공항2터미널,서울역
23118,공항철도,,인천공항1터미널,END,DOWN,0,A1044,,19:23:00,인천공항2터미널,서울역
23119,공항철도,,서울역,DAY,DOWN,0,A1045,,20:45:00,서울역,인천공항2터미널
23120,공항철도,,인천공항1터미널,DAY,DOWN,0,A1045,,21:30:00,서울역,인천공항2터미널
